r,J_LSP,J_B,ratio_running
1e-09,1.836987792721902e+17,38475.36522846182,4774451865015.712
0.003333445448114937,1.9736259032846686e-08,1.479524057351355e-18,13339599944.172958
0.006666889896229875,7.894505517646923e-08,5.91857626218322e-18,13338521238.779865
0.010000334344344811,1.7762760129750144e-07,1.3318611555394333e-17,13336795698.164072
0.013333778792459748,3.1578500941937337e-07,2.3682036894384328e-17,13334368611.437084
0.016667223240574687,4.934195502767335e-07,3.7012257747260787e-17,13331247005.953064
0.020000667688689622,7.105334904414277e-07,5.33135992546168e-17,13327434282.724731
0.023334112136804558,9.671301757747055e-07,7.25914036662929e-17,13322929808.888416
0.026667556584919497,1.2632138383666357e-06,9.485201165734011e-17,13317733765.416477
0.030001001033034436,1.5987881552841814e-06,1.2010264632554446e-16,13311847858.460863
0.033334445481149375,1.9738580568988283e-06,1.4835156007498643e-16,13305273337.881405
0.036667889929264307,2.3884290090987822e-06,1.7960798582951997e-16,13298011210.73663
0.040001334377379245,2.8425070020577326e-06,2.1388214052739584e-16,13290062438.35324
0.043334778825494184,3.336100618919054e-06,2.5118537348781734e-16,13281428662.011076
0.046668223273609116,3.869211751051382e-06,2.915294854434323e-16,13272111207.434471
0.050001667721724055,4.441855433081427e-06,3.3492821155580206e-16,13262111938.69936
0.053335112169838994,5.0540345165354956e-06,3.8139532201100766e-16,13251432896.1529
0.05666855661795393,5.705760199515375e-06,4.3094619372992066e-16,13240075634.804762
0.06000200106606887,6.3970400720014895e-06,4.835968870721193e-16,13228042286.89647
0.06333544551418381,7.127889057627031e-06,5.393650044264136e-16,13215334697.524857
0.06666888996229875,7.898312669132653e-06,5.98268393041132e-16,13201955445.086718
0.07000233441041367,8.70831906181742e-06,6.603260945640055e-16,13187906904.644249
0.07333577885852861,9.557930654104648e-06,7.255592290360142e-16,13173191479.906359
0.07666922330664355,1.0447155874961977e-05,7.939888570895966e-16,13157811701.862564
0.08000266775475849,1.1376001059180808e-05,8.656368732439536e-16,13141770424.530918
0.08333611220287343,1.2344480418664014e-05,9.405268051414046e-16,13125070281.019867
0.08666955665098837,1.3352623970487953e-05,1.018684384778271e-15,13107714391.238377
0.09000300109910331,1.4400429773032106e-05,1.100133958343436e-15,13089705725.215538
0.09333644554721823,1.5487913101571495e-05,1.1849022178073844e-15,13071047440.717327
0.09666988999533317,1.661509822296359e-05,1.2730175928791137e-15,13051742816.36292
0.10000333444344811,1.7782002243569124e-05,1.364509021709674e-15,13031795290.945753
0.10333677889156305,1.8988633019725758e-05,1.4594058203083412e-15,13011208229.739597
0.10667022333967799,2.023500827523232e-05,1.5577391180852187e-15,12989985319.303852
0.11000366778779293,2.152116215805165e-05,1.6595424129570535e-15,12968130244.83309
0.11333711223590787,2.2847098860646333e-05,1.7648479987641039e-15,12945646807.343073
0.1166705566840228,2.4212836084182225e-05,1.873690338263632e-15,12922538794.014654
0.12000400113213774,2.5618400212115056e-05,1.9861056529699247e-15,12898810379.904293
0.12333744558025267,2.7063816586792364e-05,2.1021312692973433e-15,12874465539.841711
0.12667089002836762,2.854910015659662e-05,2.221804829744328e-15,12849508550.164543
0.13000433447648255,3.0074271258842452e-05,2.345165575288187e-15,12823943680.457087
0.1333377789245975,3.163934835960789e-05,2.4722537782934217e-15,12797775308.264791
0.13667122337271242,3.324435436668258e-05,2.6031112400083923e-15,12771007959.911617
0.14000466782082735,3.488931252393246e-05,2.7377810159553345e-15,12743646157.455004
0.1433381122689423,3.657425475361491e-05,2.876308046958288e-15,12715694618.41627
0.14667155671705723,3.82992248013488e-05,3.0187394630568048e-15,12687158090.33968
0.15000500116517218,4.006422074208888e-05,3.165120054270755e-15,12658041418.691051
0.1533384456132871,4.186926823869083e-05,3.3154980518947957e-15,12628349521.95574
0.15667189006140206,4.3714393659170144e-05,3.469923022864545e-15,12598087442.032751
0.16000533450951698,4.5599623892497345e-05,3.62844588733648e-15,12567260283.980837
0.1633387789576319,4.752498646641564e-05,3.791118936983247e-15,12535873249.134535
0.16667222340574686,4.94905351351162e-05,3.957997924962183e-15,12503931551.603596
